,Eastings,Northings,TVD,Azimuth[rad],Inclination[rad]
79,233.3236492494917,134.70752157039493,2591.8636,0.5235953470108451,0.33490857229690185
80,243.4455473278304,140.55135817945458,2624.672,0.5235955174696225,0.34222500959941793
81,253.8023063341735,146.5307931282984,2657.4804,0.5235956869286322,0.34954088589392635
82,264.3951294032253,152.64652113452362,2690.2888,0.5235958553966304,0.35685513039266303
83,275.2252196696901,158.89923691572739,2723.0972,0.5235960228822679,0.3641666765380605
84,286.2937802682721,165.28963518950698,2755.9056,0.5235961893941092,0.3714744628030727
85,297.6020143336755,171.81841067345957,2788.714,0.5235963549406052,0.37877743348217924
86,309.15112500060474,178.48625808518244,2821.5224,0.5235965195301217,0.38607453947156106
87,320.942315403764,185.29387214227273,2854.3308,0.5235966831709158,0.3933647390370061
88,332.9767886778575,192.24194756232774,2887.1392,0.52359684587117,0.4006469985681111
89,345.2557479575895,199.33117906294464,2919.9476,0.5235970076389556,0.40792029331743895
90,357.78039637766443,206.56226136172057,2952.756,0.5235971684822514,0.4151836081232848
91,370.5519370727863,213.9358891762529,2985.5644,0.5235973284089742,0.4224359381148145
92,383.57157317765956,221.45275722413876,3018.3728,0.5235974874269084,0.42967628939839997
93,396.8405078269884,229.11356022297542,3051.1812,0.5235976455437867,0.4369036797239664
94,410.35994415547714,236.91899289036004,3083.9896,0.5235978027672341,0.4441171391303439
95,424.13108529782994,244.86974994388987,3116.798,0.523597959104798,0.45131571056860703
96,438.15513438875126,252.96652610116206,3149.6064,0.5235981145639376,0.4584984505024773
97,452.43329456294515,261.21001607977394,3182.4148,0.5235982691520403,0.4656644294849593
98,466.966768955116,269.6009145973226,3215.2232,0.5235984228763944,0.4728127327104433
99,481.75676069996797,278.1399163714055,3248.0316,0.5235985757442176,0.4799424605415616
100,496.8044729322054,286.82771611961954,3280.84,0.5235987277626433,0.4870527290102243
101,512.1111087865327,295.6650085595621,3313.6484,0.5235988789387248,0.49414267029227915
102,527.6778713976538,304.65248840883044,3346.4568,0.523599029279453,0.5012114331553468
103,543.5059639002733,313.7908503850217,3379.2652,0.5235991787917187,0.5082581833794633
104,559.5965894290952,323.0807892057331,3412.0736,0.5235993274823498,0.5152821041502579
105,575.9509511188239,332.5229995885619,3444.882,0.5235994753581025,0.5222823964244002
106,592.5702521041636,342.11817625110524,3477.6904,0.5235996224256533,0.5292582792672202
107,609.4556955198187,351.8670139109604,3510.4988,0.5235997686916,0.5362089901624579
108,626.6084845004933,361.77020728572467,3543.3072,0.5235999141624946,0.5431337852940582
109,644.0298221808919,371.8284510929951,3576.1156,0.5236000588447736,0.5500319398002365
110,661.7209116957183,382.04244005036907,3608.924,0.5236002027448567,0.5569027479998023
111,679.6829561796774,392.4128688754437,3641.7324,0.5236003458690501,0.5637455235911368
112,697.917158767473,402.9404322858162,3674.5407999999998,0.52360048822362,0.5705595998239072
113,716.4247225938094,413.6258249990839,3707.3492,0.5236006298147515,0.5773443296440591
114,735.206850793391,424.4697417328438,3740.1576,0.5236007706485677,0.5840990858123335
115,754.2647465009221,435.47287720469336,3772.966,0.5236009107311305,0.5908232609968356
116,773.5996128511068,446.63592613222966,3805.7744,0.5236010500684326,0.5975162678401402
117,796.0228160888572,459.5821617695276,3838.5828,0.5236052380280682,0.6681168923821598
118,832.2817186602664,480.51703936190813,3871.3912,0.523615125199493,0.9061328928679361
119,881.2563695829202,508.7938227487417,3904.1996,0.5236180020635901,1.0451010820350455
120,940.4452240234982,542.968045951506,3937.008,0.5236180631170602,1.1232496949423627
121,1007.3467371486792,581.5952429916789,3969.8164,0.5236166049235674,1.1691855997506333
122,1079.4593641251424,623.230947890738,4002.6248,0.5236139631890512,1.1954696355041396
123,1160.3637829976844,669.9422277381946,4035.4332,0.5236088970453022,1.2330626591090728
124,1268.5418668164623,732.3993844968323,4068.2416,0.5236023179822001,1.3139487431772587
125,1399.8264933034945,808.1966156328385,4101.05,0.5235988709631842,1.3576612115291067
126,1547.8073953932653,893.6330596049662,4133.8584,0.5235969019542007,1.3811008292112854
127,1706.0743060202599,985.0078548719673,4166.6668,0.523595703943341,1.3931629618948442
128,1868.216958118962,1078.6201398925948,4199.4752,0.5235949881118264,1.397323236784808
129,2027.825084623857,1170.769053125601,4232.2836,0.5235946330857544,1.394624720757422
130,2178.4884184694292,1257.7537330297391,4265.092,0.523594611758636,1.3843995903294581
131,2313.7966925901633,1335.8733180637612,4297.9003999999995,0.5235949872786266,1.3638166440860313
132,2427.339639920544,1401.4269466864203,4330.7088,0.5235959842505489,1.3255920716693035
133,2513.9853225943584,1451.451783817096,4363.5172,0.5235981602889733,1.253924974137698
